title,creator,date,location,lat-long,subject,description,collection,series,related-dataset,contributors,publisher,contributing-institution,language,iwrri-number,resource-identifier,rights,rights-standardized,format,type,date-digital,digitization-specifications,metadata-cataloger,filename,cdm-number
Some limnological aspects of Spring Valley Reservoir,"Duff, Douglas Willard",1965-05,,"46.78, -116.76",limnology; reservoirs,"The present investigation is an attempt to contribute to our inadequate knowledge of limnological interrelationships in an artificial body of water. Spring  Valley Reservoir, a 56 acre artificial lake, was selected for study. Field work extended from May through November,  1964, but certain phases of the laboratory work were not completed until March, 1965.  Particular attention has been given to vertical and seasonal variations of zooplankton populations in reference to selected environmental factors such as temperature,  transparency, dissolved oxygen, free carbon dioxide, total and calcium hardness, alkalinity, nitrogen, and phosphorous. In addition, emphasis has been given to  the mean summer standing crop of zooplankton.  Although limnology has been recognized as a distinct branch of science for less than 70 years (Welch, 1952),  much has been done to provide an understanding of lake productivity and the numerous factors influencing productivity . Many investigations have been conducted in an  attempt to determine characteristics with which to classify the productivity of lakes. As a result, many physical,  chemical, and biological measures of productivity have evolved and are now used with varying degrees of success.  Some of these limnological methods have been included in the present investigation.",Palouse Basin,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196501,196501,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2007-12-08,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",Jodi Haire,,37
"Relationship of farm size to ability to pay for irrigation water in the dry lake area of Canyon County, Idaho","Coffing, Arthur Lee",1965-05,Boise River,"43.71, -116.76",irrigation; Idaho; Canyon County,"The main objective of the study is to determine the ability of different sizes of farms to pay for irrigation water. This ability will be measured by the capability of the farm to produce high value crops at low costs.  Phrased in a different way, the objective of this study is to find the maximum that farms of various sizes can pay for irrigation water if, at the same time, all other factors of production are adequately rewarded. This, to some degree, will indicate the maximum value of water if irrigation is its highest use. This type of information can be of use to future studies which involve water rights or water values.  A secondary objective is to determine the economies of size of the various enterprises. This will reflect the competitive advantage of each enterprise on farm-to-farm, area to-area, or possibly on state-to-state levels.",Boise Basin,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196601,196601,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-01-04,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",Jodi Haire,,38
A solid-liquid phase precipitation metering device,"Read, John Carlton",1966-06,,,precipitation,"A need for a precipitation metering device capable of discriminating between solid and liquid phases of precipitation initiated this research project.  A literature search revealed no existing instrument capable of performing this function; however, references were found to certain schemes which, with modifications, could possibly be adapted as a solution to this problem.  An optical scheme was selected for further research because this type of system requires no mechanical motion, thus avoiding icing problems likely to be encountered in the operational environment, and because luminous radiation and electricity are energy forms which are easily transducible from one form to the other.  A photosensitive device was used to determine the relative light attenuant and reflective effects of the precipitation particle types.  With certain geometric restrictions it was found that the reflective properties of snow are of a sufficient degree of magnitude greater than those of rain to enable the development of a system sensitive to the presence of snow and not rain. Optical attenuant characteristics of the snow and rain particles were found to be similar in degree of magnitude of photosensitive device response.  A prototype system employing both reflective and attenuant effects of the particles was developed and shown to be capable of detection and identification of both precipitation phases.  This system is recommended as a solution to this problem.",,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196603,196603,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-04-24,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",Jodi Haire,,39
Summary report on title to beds and use of water of navigable streams and lakes in Idaho; a report to the Subcommittee on High Water Mark Legislation of the Idaho Legislative Council,"Walenta, Thomas Rex",1966-12,,,riparian rights; submerged lands; Idaho; water rights," This study is concerned with the Federal and State Laws and statutes governing the ownership and control of the beds of navigable streams and lakes, together with their waters, in the State of Idaho. It was made at the request of Mr. Harold Snow, Chairman of the 1965 Sub-committee on High Water Mark Legislation of the Idaho Legislative Council. Its purpose is to provide such materials for the Chairman and his committee members as will enable them to comply with Senate Concurrent Resolution No. 7, Idaho Session Laws (1965) at 922.",,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI; Special Research Prgram of the University of Idaho; College of Law; Water Resources Research Institute; Idaho Legislative Council,University of Idaho,University of Idaho,eng,196604,196604,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-01-17,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF",Jodi Haire,,40
"The economic value of water in different uses within agriculture. Research technical completion report, project A-017-IDA","Maher, Matthew Joseph",1967-08,,,water use; irrigation water,"This study was undertaken in order to determine the economic value of water in alternative uses within agriculture in Idaho. It is important to Idaho farmers and to the economy of Idaho in general to have such estimates available so that maximum economic gains may be derived from the available supply of irrigation water.  Three irrigation areas, Area I, Area II, and Area III, along the Snake River valley were studied. Costs of producing different crops in those areas were already available from previous studies. The author interviewed selected farmers in two of those areas to update available information and to determine the resource supply situations confronting operators.  The analytical tool applied to fulfill the objectives was linear programming. Three representative farms of different sizes were constructed for Area I and one each for Areas II and III. Three analytical models were formulated as steps in attaining the objectives. Changes were made from model to model in order to make the analysis more realistic or to investigate some particular facet of the problem.   The results of the study indicate that the value of water varies from area to area, water being most valuable in Area I and least valuable in Area III. Analysis of different sized farms in Area I indicates that farmers can afford to pay more for water on large farms than on smaller farms. Project A-017-IDA.",,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196702,196702,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-09-11,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 PDFScanLib v1.2.2, Archival Master file is a TIFF; 3,766,885 bytes",Jodi Haire,,41
Nuclear radiation snow gage. Bulletin no. 13,"McKean, George A.",1967-08,,,snow; Measuring instruments; Idaho,"The measurement of water stored in snow packs is important to determine the efficient utilization of this water. Various methods have been used for this measurement but have not provided accuracies sufficient for precision analyses.  Nuclear radiation is shown to be a useful tool for nondestructive water equivalent measurement. The scintillation detector was selected as a desired instrument, and the selection criteria, design features, and performance are presented. Although a unit of relatively high cost, this detector is shown to be capable of arbitrarily high resolution.",,Bulletin (University of Idaho. Engineering Experiment Station),,Idaho Water Resources Research Institute; IWRRI,"Engineering Experiment Station, University of Idaho",University of Idaho,eng,196703,196703,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-01-18,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 3,392,956 bytes",Jodi Haire,,44
New development: the Geiger-Muller radioisotope snow gage,"Waldron III, Harvey Macy",1967-05,,,radioactive snow gages,"Since about 1947, the use of radioactive isotopes has been known to be adaptable to the measurement of water contained in snow packs. Early investigations of these measurement techniques were unsuccessful because the Geiger-Muller detector, the detector readily available at that time, is a device incapable of energy discrimination.  Energy discrimination is achievable by the use of scintillation detectors resulting in the present use of these devices as radiation snow gages. However, the scintillation systems have the disadvantages of high cost and complex maintenance as compared to Geiger-Muller systems.  Mechanical energy discrimination, using collimation techniques, makes possible use of the non-energy discriminant Geiger-Muller systems for snow gaging. This paper discusses such a system that has been developed and tested. Design emphasis is placed on energy discrimination and electronic dead-time correction methods. Laboratory and field test data are presented to show predictable performance characteristics. All evidence to date indicates that the Geiger-Muller snow gage may be preferable, considering the combined aspects of accuracy and costs, to either the scintillation snow gage or the pressure pillow.  A-006-IDA.",,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196705,196705,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-09-11,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 PDFScanLib v1.2.2, Archival Master file is a TIFF; 4,995,300 bytes",Jodi Haire,,45
Movement of water from canals to groundwater table; Research technical completion report project A-009-IDA,"Brockway, Charles E.; Bloomsburg, G. L.",1968-09,,,groundwater movement; percolation; seepage; soil water,"Investigation of the mechanics of water movement from irrigation canals to the water table has been performed on selected canals in southern Idaho. Field studies of existing seepage measurement techniques including ponding tests, inflow-outflow techniques and seepage meters were made. A new seepage meter which will operate efficiently in large operating canals was developed. An accurate and reliable tensiometer system for monitoring changes in soil moisture pressure beneath operating canals was developed. Measured decreases in soil moisture and pressure beneath an operating canal during the irrigation season indicated decreasing seepage rates caused by natural sealing of a thin soil layer on the canal bottom. A fast response, inexpensive null point tensiometer was laboratory tested and a device for measuring the capillary pressure - saturation curve for soils in situ was investigated. New techniques for obtaining and testing undisturbed soil cores using heat shrinkable tubing allow efficient laboratory determination of hydraulic characteristics.",,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,"Water Resources Research Institute, University of Idaho",University of Idaho,eng,196802,196802,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-01-25,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 519,190 bytes",Jodi Haire,,46
"A microclimatic profile between the Snake River Canyon and Clearwater Mountains, Idaho; Research technical completion report, project A-010-IDA","Day, Richard L.",1968-09,,,air temperature; Micrometeorology,"Temperature and relative humidity records have been kept at a maximum of 18 sites, and precipitation records at 8 sites, along a 75-mile profile between Wawawai, Washington, elevation 675 feet in the Snake River Canyon, and Crater Peak, elevation 6400 feet in the Clearwater Mountains, Idaho. Most distinctive microclimatic feature is the extreme development of nocturnal temperature inversions during summer and early autumn. Mean inversions between non-contiguous hilltops and bottomlands may reach 20 to 30 degrees. Greatest recorded on a specific day has been 42 degrees. Mean temperatures, length of frost-free season, nocturnal relative humidities, natural vegetation, and land use are all strongly influenced by these inversions. None of the six official Weather Bureau stations in the vicinity of the profile is located to show these inversions. Diurnal temperature and relative humidity patterns differ greatly at individual sites along the profile and are analyzed and compared. Precipitation normally varies by a factor of at least 3 1/2 along the profile, but may reach several times this value during individual months. Maximum snow depths range from none at Wawawai to 14 feet at Lost Lake near Crater Peak during specific snow seasons.",,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,"Water Resources Research Institute, University of Idaho",University of Idaho,eng,196807,196807,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-11-21,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Image conversion plug-in, Archival Master file is a TIFF; 11,680,106 bytes",Jodi Haire,,47
"An economic approach to the agricultural use of ground water in the Oakley Fan area of Cassia County, Idaho","Cheline, Richard John",1968-06,Snake River,"42.39, -113.58",Water supply; Water rights; Cassia County,"Establishing feasible amounts of revenue farmers do have and could have available for water costs was the object of this study. A definite area known commonly as the Oakley Fan was selected as the site for analysis.   The author interviewed many of the farmers in the area in order to collect physical input and output information. This information was gathered for the years 1965, 66, & 67.   The analytical tools applied to fulfill the objectives were a synthetic budget approach in conjunction with a linear programming model. Such analysis depicted the structure of three sizes of typical farms in the area in contrast to three theoretical optimum farms.   The results of this study indicate that the farmers in the area are now relatively close to the theoretical optimum structure. Also, economies of size were found to the extent that the smaller farmers received approximately 50% less than the larger farmers for their return to management and water. B-006-IDA",Boise Basin,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196805,196805,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-02-07,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 3,621,233 bytes",Jodi Haire,,48
